Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
201–250,University of São Paulo,Brazil,55.9–58.6,59.8,60.7,57.3,68.2,42.5
351–400,University of Campinas,Brazil,49.1–51.0,50.0,45.5,54.0,65.5,40.4
601–800,Universidade Estadual Paulista (Unesp),Brazil,37.0–41.8,41.5,33.1,38.1,40.5,38.6
601–800,Federal University of Rio de Janeiro,Brazil,37.0–41.8,41.8,36.0,36.7,81.0,35.9
601–800,Universidade Federal do Rio Grande do Sul,Brazil,37.0–41.8,36.4,22.5,54.1,52.9,34.1
801–1000,Federal University of Minas Gerais,Brazil,32.7–36.9,40.2,23.3,43.3,50.8,33.4
801–1000,Universidade Federal de Santa Catarina,Brazil,32.7–36.9,32.5,21.6,41.6,64.2,35.3
801–1000,Universidade Federal de São Paulo (UNIFESP),Brazil,32.7–36.9,33.2,22.5,48.2,47.2,35.2
801–1000,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,32.7–36.9,33.4,30.5,37.1,62.9,43.2
1001–1200,Federal University of São Carlos,Brazil,28.3–32.6,33.4,19.8,33.5,44.8,29.5
1001–1200,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,28.3–32.6,32.9,16.9,42.3,39.2,35.1
1201–1500,University of Brasília,Brazil,22.8–28.2,32.6,14.9,28.7,27.7,36.9
1201–1500,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,22.8–28.2,31.8,13.5,24.6,26.3,30.4
1201–1500,Universidade Federal do ABC (UFABC),Brazil,22.8–28.2,16.8,17.6,41.1,26.6,45.9
1201–1500,Universidade Federal da Bahia,Brazil,22.8–28.2,27.5,12.3,30.5,19.7,28.4
1201–1500,Universidade Federal do Ceará (UFC),Brazil,22.8–28.2,24.2,16.6,24.6,44.5,27.2
1201–1500,Federal University of Espírito Santo,Brazil,22.8–28.2,24.7,15.7,25.1,47.3,28.8
1201–1500,Federal University of Goiás,Brazil,22.8–28.2,30.0,13.8,26.2,30.8,27.7
1201–1500,Federal University of Lavras,Brazil,22.8–28.2,27.0,16.8,26.6,29.3,26.5
1201–1500,Universidade Federal do Paraná (UFPR),Brazil,22.8–28.2,28.4,16.4,29.1,49.2,27.6
1201–1500,Universidade Federal de Pernambuco,Brazil,22.8–28.2,30.7,13.3,25.1,40.2,25.7
1201–1500,Federal University of Rio Grande do Norte (UFRN),Brazil,22.8–28.2,25.3,11.3,30.6,24.8,31.3
1201–1500,Federal University of Santa Maria,Brazil,22.8–28.2,31.5,13.0,36.8,24.1,25.0
1201–1500,Federal University of Uberlândia,Brazil,22.8–28.2,23.3,12.7,36.1,29.8,24.4
1201–1500,Federal University of Viçosa,Brazil,22.8–28.2,32.2,14.5,23.0,26.6,24.5
1501+,Universidade do Estado de Santa Catarina,Brazil,9.7–22.7,26.5,11.0,15.7,17.0,21.2
1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,9.7–22.7,21.1,10.9,21.6,22.3,34.5
1501+,Universidade Estadual de Maringá,Brazil,9.7–22.7,28.9,13.8,20.2,21.2,22.0
1501+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,9.7–22.7,27.6,9.8,7.4,17.2,20.4
1501+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,9.7–22.7,21.2,12.8,25.1,21.2,26.1
1501+,Federal University of Itajubá,Brazil,9.7–22.7,17.7,9.6,21.3,20.5,28.0
1501+,Universidade Federal de Juiz de Fora,Brazil,9.7–22.7,18.5,12.1,27.5,18.6,29.8
1501+,Universidade Federal do Maranhão (UFMA),Brazil,9.7–22.7,15.2,10.3,14.5,18.7,23.2
1501+,Federal University of Mato Grosso do Sul,Brazil,9.7–22.7,21.4,11.7,22.3,33.0,28.9
1501+,Universidade Federal de Ouro Preto (UFOP),Brazil,9.7–22.7,22.1,12.0,20.7,25.5,24.7
1501+,Federal University of Pará,Brazil,9.7–22.7,22.6,11.7,21.3,21.7,26.8
1501+,Federal Rural University of Pernambuco,Brazil,9.7–22.7,25.0,11.0,19.1,20.0,23.4
1501+,Universidade Federal Rural do Semi-Arido,Brazil,9.7–22.7,19.1,9.0,5.7,16.6,18.3
1501+,Universidade Federal de Sergipe,Brazil,9.7–22.7,17.0,10.4,36.4,18.1,28.1
1501+,Fluminense Federal University,Brazil,9.7–22.7,21.0,13.1,27.8,22.5,30.8
1501+,University of Fortaleza (UNIFOR),Brazil,9.7–22.7,14.3,9.4,33.6,16.9,37.8
1501+,Londrina State University,Brazil,9.7–22.7,30.3,16.1,19.6,34.8,23.9
1501+,Mackenzie Presbyterian University,Brazil,9.7–22.7,17.4,10.8,12.4,20.7,28.7
1501+,Universidade Nove de Julho (Uninove),Brazil,9.7–22.7,17.9,8.1,9.6,17.5,26.9
1501+,University of Pernambuco,Brazil,9.7–22.7,16.0,10.3,15.2,18.3,26.4
1501+,Pontifical Catholic University of Minas Gerais,Brazil,9.7–22.7,24.4,10.7,14.6,20.5,24.7
1501+,State University of Bahia,Brazil,9.7–22.7,19.3,8.6,4.1,16.2,20.0
1501+,State University of Ponta Grossa,Brazil,9.7–22.7,24.9,11.3,18.1,18.1,25.9
1501+,State University of Santa Cruz,Brazil,9.7–22.7,22.9,9.3,14.1,17.4,34.9
1501+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,9.7–22.7,16.7,10.2,22.3,42.3,25.3
